tesda_inst_id,name,region,old_region,province,old_province,city_municipality,old_city_municipality,district,municipality_class,type_of_institution,classification,institution_classification,address,latitude,longitude,coord_status,psgc_observed_region,psgc_observed_province,psgc_observed_municity,psgc_observed_barangay
TESDA00017,"JM Technical Institute, Inc.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,Ungkaya Pukan,Ungkaya Pukan,Lone,Component,Private,TVI,Provider Only,"Bohe Pahuh, Ungkaya Pukan, Basilan",6.4647511,122.1849681,valid,19,19007,1900709,1900709004
TESDA00018,"BADJA INSTITUTE OF ISLAMIC TEACHING, INC.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Badja, Tipo-tipo",6.55199,122.150421,valid,19,19007,1900706,1900706002
TESDA00019,BASILAN PROVINCIAL TRAINING CENTER,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Geras Road., Brgy. Sumagdang, Isabela City, Basilan",6.697149,121.960439,valid,09,09901,0990101,0990101047
TESDA00020,"BASILAN SKILLS DEVELOPMENT ACADEMY, INC.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Sayugan, Brgy. Maganda, Lamitan City, Basilan",6.6532383,122.1513283,valid,19,19007,1900708,1900708008
TESDA00021,"HARDAM FURIGAY COLLEGES FOUNDATION, INC.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Brgy. Limo-k, Lamitan City, Basilan",6.656071,122.134355,valid,19,19007,1900702,1900702068
TESDA00022,"HHH TECHNICAL AND DRIVING INSTITUTE, INC.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Brgy. Limo-ok- Lamitan City, Basilan",6.655958,122.134492,valid,19,19007,1900702,1900702068
TESDA00023,IAM INSTITUTE OF TECHNOLOGY INC.,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Bcr Hi-way, Tumahubong, Sumisip, Basilan",6.4752256,122.0450448,valid,19,19007,1900705,1900705044
TESDA00024,JAIRATUL TECHNICAL INSTITUTE INCORPORATED,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"Brgy. Guinanta, Al-barka, Basilan",6.49875,122.15069,valid,19,19007,1900709,1900709012
TESDA00025,MINDANAO AUTONOMOUS COLLEGE FOUNDATION INCORPORATED,BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"D. Flores Street, Lamitan City, Basilan",6.645559,122.10194,valid,19,19007,1900702,1900702028
TESDA00026,"MINDANAO AUTONOMOUS COLLEGE FOUNDATION, INC.",BARMM,Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),Basilan,Basilan,,,,,,,Both,"D. Flores Street, Lamitan City, Basilan",6.645559,122.10194,valid,19,19007,1900702,1900702028
